Código,Localização,Categoria,Comissão,Endereço,Cama Casal,Cama Solteiro,Cama Queen,Cama King,Sofá Cama Solteiro,Travesseiros,Banheiros,Taxa de Limpeza,Capacidade,Hotel,Data Inicial do contrato,Status,Tipo
ADJ205,JUR,SIM2Q,0.2,"Av dos Búzios, 470 Apto 205 Jurerê Florianópolis",1,2,0,0,0,4,2.00,295.00,4,Não,25/10/2019,Ativo,Apartamento
AYA201,JUR,JR3Q,0.2,"R Prof Manoel do Lago Almeida, 140 Apto 201 Jurerê Florianópolis",3,0,0,0,0,6,2.00,314.00,6,Não,25/10/2019,Ativo,Apartamento
BEL102,JUR,SUP2Q,0.2,"Rodovia Maurício Sirotsky Sobrinho, 5145 apto 102 Jurerê Florianópolis",0,2,1,0,0,4,2.00,252.00,4,Não,01/12/2019,Inativo,Apartamento
CCA201,CAN,SUP3Q,0.2,"Rua Prof Teodosio Mauricio Wanderley, 120 Apto 201 Canasvieiras Florianópolis",1,4,0,0,0,6,2.00,354.00,6,Não,25/11/2019,Ativo,Apartamento
CDC301,JUR,TOP3Q,0.2,"Av. Dourados, 910, Ap 301, Jurerê",3,0,0,0,0,6,2.00,314.00,6,Não,01/12/2019,Inativo,Apartamento
CDS106,JUR,SUP2Q,0.2,Av dos Salmões 844 Apto 106 Jurerê Florianópolis,1,2,0,0,0,4,2.00,253.00,4,Não,05/02/2020,Ativo,Apartamento
CDS208,JUR,JR2Q,0.2,Av dos Salmões 844 Apto 208 Jurerê Florianópolis,1,2,0,0,1,5,2.00,291.00,5,Não,01/09/2019,Inativo,Apartamento
CDS209,JUR,SUP2Q,0.2,Av dos Salmões 844 Apto 209 Jurerê Florianópolis,1,2,0,0,0,4,1.00,255.00,4,Não,01/11/2019,Inativo,Apartamento
CHR101,JUR,SUP2Q,0.2,"Rua dos Chernes, 525 Apto 101 Jurerê Florianópolis",1,2,0,0,1,5,2.00,281.00,5,Não,01/10/2019,Ativo,Apartamento
CPJ102,JUR,TOP3Q,0.2,"Condomínio Portal do Jurerê, Apto 102 Av. das Raias 961 Jurerê",2,2,0,0,0,6,3.00,0.00,6,Não,26/12/2019,Inativo,Apartamento
CPS107,JUR,SUP2Q,0.2,"Rua dos Chernes, 181, apto 107 Jurerê Florianópolis",2,0,0,0,0,4,2.00,285.00,4,Não,07/01/2020,Ativo,Apartamento
CVJ302,JUR,MASTER3Q,0.2,"Rua Deputado Paulo Preis, 565 Apto 302 Jurerê Florianópolis",1,3,0,0,0,5,4.00,330.00,5,Não,20/01/2020,Ativo,Apartamento
ECB107,JUR,SUP3Q,0.2,"Edifício Costa Bella, Apto 106 Av. das Raias, 601 Jurerê",1,4,0,0,0,6,2.00,0.00,6,Não,06/01/2020,Inativo,Apartamento
EDH208,JUR,SUP2Q,0.2,"Rua Deputado Paulo Preis, 590.Apto 208 Jurerê Florianópolis",2,0,0,0,0,4,2.00,248.00,4,Não,28/12/2019,Inativo,Apartamento
EVM102,JUR,JR3Q,0.2,"Rua dos Cambuatas,104 Apto 102 Jurerê Florianópolis",1,2,0,0,2,6,2.00,342.00,6,Não,01/12/2019,Ativo,Apartamento
